report_date_as_yyyy_mm_dd,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,report_date
2023-08-08T00:00:00.000,427759,228846,85861,113890,281444,2023-08-08
2023-08-15T00:00:00.000,433611,233078,111942,116062,257992,2023-08-15
2023-08-22T00:00:00.000,430239,226340,124394,117646,238682,2023-08-22
2023-08-29T00:00:00.000,442806,236054,112782,118132,258726,2023-08-29
2023-09-05T00:00:00.000,438672,235802,97796,111456,269695,2023-09-05
2023-09-12T00:00:00.000,441221,235704,111840,113062,257872,2023-09-12
2023-09-19T00:00:00.000,438078,237716,102553,110014,262946,2023-09-19
2023-09-26T00:00:00.000,435620,235560,119745,110844,245680,2023-09-26
2023-10-03T00:00:00.000,431226,228406,137180,110666,222648,2023-10-03
2023-10-10T00:00:00.000,436499,220332,148899,121341,211769,2023-10-10
2023-10-17T00:00:00.000,439581,231412,118674,110062,238061,2023-10-17
2023-10-24T00:00:00.000,463476,251469,102084,106180,272053,2023-10-24
2023-10-31T00:00:00.000,475808,261053,97628,105971,288678,2023-10-31
2023-11-07T00:00:00.000,484347,261653,95437,110651,296742,2023-11-07
2023-11-14T00:00:00.000,486634,254352,98976,110728,287747,2023-11-14
2023-11-21T00:00:00.000,508429,269701,97996,115937,306172,2023-11-21
2023-11-28T00:00:00.000,505658,289845,89761,115596,334188,2023-11-28
2023-12-05T00:00:00.000,487469,288840,85296,103193,330138,2023-12-05
2023-12-12T00:00:00.000,469939,273536,85303,105710,318518,2023-12-12
2023-12-19T00:00:00.000,481203,280972,79633,105559,332617,2023-12-19
2023-12-26T00:00:00.000,491343,289843,82125,105951,338296,2023-12-26
2024-01-02T00:00:00.000,500364,290706,83057,108804,344282,2024-01-02
2024-01-09T00:00:00.000,489849,271665,83051,106489,324190,2024-01-09
2024-01-16T00:00:00.000,489334,262360,82467,109287,316707,2024-01-16
2024-01-23T00:00:00.000,465872,241100,71626,113094,305187,2024-01-23
2024-01-30T00:00:00.000,430328,219222,71431,117525,288043,2024-01-30
2024-02-06T00:00:00.000,419121,228623,66885,104344,284585,2024-02-06
2024-02-13T00:00:00.000,420812,217505,86337,109529,262509,2024-02-13
2024-02-20T00:00:00.000,407063,211034,70772,106419,265830,2024-02-20
2024-02-27T00:00:00.000,411195,214948,73312,108432,266784,2024-02-27
2024-03-05T00:00:00.000,471616,264148,72855,104023,310815,2024-03-05
2024-03-12T00:00:00.000,516057,283062,81460,129432,347705,2024-03-12
2024-03-19T00:00:00.000,535047,278732,77130,138102,355632,2024-03-19
2024-03-26T00:00:00.000,503642,265647,66353,141774,360114,2024-03-26
2024-04-02T00:00:00.000,500045,281399,74149,127114,352828,2024-04-02
2024-04-09T00:00:00.000,505214,279799,77380,128094,352676,2024-04-09
2024-04-16T00:00:00.000,517193,278777,76854,132684,355442,2024-04-16
2024-04-23T00:00:00.000,516249,279535,76644,129083,355955,2024-04-23
2024-04-30T00:00:00.000,519791,278850,74640,126925,354423,2024-04-30
2024-05-07T00:00:00.000,529835,272144,72577,124899,352165,2024-05-07
2024-05-14T00:00:00.000,522952,277642,73146,133583,365693,2024-05-14
2024-05-21T00:00:00.000,530591,300729,70923,118514,377177,2024-05-21
